,recipient,date,quantity,sales
584,11483,2015-05-01,82349.0,30562.0
585,11483,2015-06-01,95371.0,32307.0
586,11483,2015-07-01,83607.0,37742.0
587,11483,2015-08-01,69276.0,22417.0
588,11483,2015-09-01,48031.0,6186.0
589,11483,2015-10-01,66834.0,31791.0
590,11483,2015-11-01,56978.0,22163.0
591,11483,2015-12-01,64367.0,24840.0
592,11483,2016-01-01,46203.0,14440.0
593,11483,2016-02-01,101695.0,48828.0
594,11483,2016-03-01,76962.0,29840.0
595,11483,2016-04-01,133371.0,39588.0
596,11483,2016-05-01,60162.0,26026.0
597,11483,2016-06-01,137707.0,56495.0
598,11483,2016-07-01,86006.0,33034.0
599,11483,2016-09-01,91287.0,37817.0
600,11483,2016-10-01,71100.0,12085.0
601,11483,2016-11-01,81228.0,35198.0
602,11483,2016-12-01,67390.0,26885.0
603,11483,2017-01-01,68675.0,19933.0
604,11483,2017-02-01,33126.0,15410.0
605,11483,2017-03-01,84532.0,25685.0
606,11483,2017-04-01,32245.0,13675.0
607,11483,2017-05-01,95398.0,21251.0
608,11483,2017-06-01,164479.0,68517.0
609,11483,2017-07-01,31792.0,12996.0
610,11483,2017-08-01,87971.0,44574.0
611,11483,2017-09-01,42123.0,19927.0
612,11483,2017-10-01,53006.0,22686.0
613,11483,2017-11-01,168150.0,71288.0
614,11483,2017-12-01,98398.0,30988.0
615,11483,2018-01-01,2219.0,-1720.0
616,11483,2018-02-01,109533.0,35160.0
617,11483,2018-03-01,29472.0,9946.0
618,11483,2018-04-01,60288.0,19457.0
619,11483,2018-05-01,167985.0,51674.0
620,11483,2018-06-01,32881.0,11838.0
621,11483,2018-07-01,50236.0,25727.0
622,11483,2018-08-01,25969.0,13256.0
623,11483,2018-09-01,43634.0,21469.0
624,11483,2018-10-01,123974.0,52209.0
625,11483,2018-11-01,78508.0,40841.0
626,11483,2018-12-01,52623.0,23928.0
627,11483,2019-01-01,45704.0,19426.0
628,11483,2019-02-01,116425.0,44671.0
629,11483,2019-03-01,3979.0,19926.0
630,11483,2019-04-01,51243.0,22384.0
631,11483,2019-05-01,83779.0,43027.0
632,11483,2019-06-01,63426.0,28429.0
633,11483,2019-07-01,107713.0,50277.0
634,11483,2019-08-01,163542.0,46677.0
635,11483,2019-09-01,61856.0,27173.0
636,11483,2019-10-01,48467.0,29572.0
637,11492,2015-03-01,17690.0,2268.0
638,11492,2015-04-01,4875.0,1365.0
639,11492,2015-06-01,17690.0,2268.0
640,11499,2015-02-01,28.0,0.0
641,11499,2015-04-01,1980.0,634.0
642,11499,2015-05-01,9641.0,1205.0
643,11499,2015-07-01,1497.0,1063.0
644,11499,2015-09-01,1125.0,360.0
645,11499,2015-10-01,9641.0,1205.0
